1 + 1 = ?,,2
2 × 4 - 1 = ?,,7
2(2 + 2) = ?,,8
1/2 + 1/2 = ?,,1
1/3 + 2/3 = ?,,1
3(3 + 3 - 6) = ?,,0
5 ÷ 3 = ?/3,,5
4 + 3 × 0 = ?,,4
(2 + 1) × (1 + 3) = 1?,,2
12 ×12 = 1?4,,4
8 × 8 - 1 = 6?,,3
(2 + 4 + 6) / 3 = ?,,4
56 - 45 - 3 = ?,,8
9 × 9 - 80 = ?,,1
(9 - 3) ÷ (4 - 1) = ?,,2
16 ÷ 6 = ?/3,,8
1/2 × 1/3 = 1/?,,6
1/2 × 3 = ?/2,,3
64 ÷ 8 = ?,,8
42 ÷ 7 = ?,,6
底辺 × 高さ ÷ ？,三角形の面積を導く公式は?,2
,12と18の最大公約数は？,6
,6と9の最大公約数は？,3
,7と14の最大公約数は？,7
,2と3の最小公倍数は？,6
,3と6の最小公倍数は？,6
,3と9の最小公倍数は？,9
?乗,4は2の何乗?,2
?乗,8は2の何乗?,3
?乗,9は3の何乗?,2
1?0度,三角形の内角の和は何度?,8
3?0度,四角形の内角の和は何度?,6
?0度,正三角形の１つの内角は何度?,6
?0度,正四角形の1つの内角は何度?,9
20の3割は?,,6
15の2割は?,,3
30の3割は?,,9
x = ?,2x + 6 = 12 ,3
x = ?,3x - 6 = 0,2
x = ?,4x + 6 = 10 ,1
?代将軍,徳川家康は何代将軍?,1
?代将軍,徳川家光は何代将軍?,3
7?4年,平安京に遷都したのは何年?,9
?つ,四国にはいくつ県がある?,4
?つ,北方領土は全部でいくつ?,4
1?条,聖徳太子は何条の憲法を作った?,7
6?5条,大化の改新はいつのできごと?,4
?ヵ国,安全保障理事会の常任理事国は何か国?,5
?年,衆議院議員の任期は何年?,4
第?条,平和主義を規定している憲法は第何条?,9
?年,参勤交代は何年おきに行われる?,1
?本,クモの足は何本?,8
?本,昆虫の足は何本?,6
?つ,昆虫はいくつの部位に分かれる？,3
2?組,ヒトの染色体は何組ある？,3
?番,水素の元素番号は?,1
?番,ヘリウムの元素番号は?,2
?番,酸素の元素番号は?,8
時速3?0キロメートル,音速は時速何キロメートル?,4
?個,太陽系の惑星は全部で幾つ?,8
A?用紙,A5用紙の２倍サイズは?,4
?5度,会釈の角度は?,1
2?世紀,今は何世紀?,1
?9歳,白寿は何歳を指す?,9
?年,ワールドカップは何年に１度開催される?,4
?月,長月は何月を指す旧暦?,9
?%,現在、食品の消費税は何%?,8
?月,弥生は何月を指す旧暦?,4
?5度,最高気温何度以上で夏日と呼ぶ?,2
1?01年,19世紀は西暦何年から始まる?,8
6?4m,東京スカイツリーの高さは?,3
???m,東京タワーの高さは?,3
千代田区?-?,皇居の住所は?,1
11?番,消防車を呼ぶには何番に電話する?,9
11?番,時報ダイヤルは何番に電話する?,7
?つ,司法試験に合格しないと就けない仕事はいくつある？,3
?位,オリンピック入賞は何位まで?,8
?月,水無月は何月を指す旧暦?,6
?0歳,還暦は何歳を指す?,6
10?,人間の煩悩はいくつある?,8